COMPANY NAME,RATING,REVIEWS,PACKAGE,INDUSTRY,BENEFITS,CONS,INDIA HQ,BRANCHES,TOTAL EMPLOYEES,COMPANY TYPE,YEAR OLD
Media.net Software Services (India),3.5,243,2k,Marketing & Advertising,"Company Culture, Skill Development / Learning, Salary & Benefits",,Mumbai,9 other locations,501-1k  ,,15 years old
Shyam Steel Manufacturing,3.5,243,829,Kolkata +38 other locations,"Job Security, Work Life Balance",Promotions / Appraisal,,,46 years old,, 
Coolberg Beverages,3.4,243,536,Beverage,"Promotions / Appraisal, Job Security, Work Satisfaction",,Mumbai,39 other locations,1k-5k  ,,19 years old
greytHR,3.9,243,1.1k,Software Product,"Job Security, Work Life Balance, Promotions / Appraisal",,Bangalore / Bengaluru,15 other locations,201-500  ,,20 years old
MTAR Technologies,3.9,243,1.1k,Industrial Machinery,Promotions / Appraisal,,Hyderabad / Secunderabad,4 other locations,1k-5k  ,Public,38 years old
Rostfrei Steels,3.8,243,793,Industrial Machinery,"Company Culture, Job Security, Skill Development / Learning",,New Delhi,11 other locations,1k-5k  ,,46 years old
Apna,3.3,243,1k,Recruitment,"Skill Development / Learning, Job Security, Work Life Balance",,Bangalore / Bengaluru,19 other locations,51-200  ,,48 years old
Operational Energy Group India,3.9,243,830,Power,"Promotions / Appraisal, Job Security, Salary & Benefits",,Chennai,53 other locations,  ,,25 years old
Novonesis,3.9,243,1.2k,Biotechnology,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Bangalore / Bengaluru,11 other locations,501-1k  ,,46 years old
Valmet,4,243,1.2k,Oil & Gas,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Pune,13 other locations,201-500  ,,28 years old
Electronic Arts,4,242,2.1k,Gaming,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Hyderabad / Secunderabad,8 other locations,201-500  ,,16 years old
Winjit Technologies,3.6,242,1.9k,IT Services & Consulting,"Promotions / Appraisal, Job Security, Company Culture",,Nashik,11 other locations,51-200  ,Startup,9 years old
99acres,3.7,242,1.1k,Internet,"Work Life Balance, Salary & Benefits, Work Satisfaction",,Noida,29 other locations,501-1k  ,Conglomerate,24 years old
TourTravelWorld.Com,4.9,242,2,Internet,"Job Security, Work Life Balance",Promotions / Appraisal,New Delhi,,46 years old,, 
Kotak Mahindra General Insurance,3.8,242,1.3k,Insurance,"Promotions / Appraisal, Job Security, Work Satisfaction",,Mumbai,49 other locations,1k-5k  ,,19 years old
