COMPANY NAME,RATING,REVIEWS,PACKAGE,INDUSTRY,BENEFITS,CONS,INDIA HQ,BRANCHES,TOTAL EMPLOYEES,COMPANY TYPE,YEAR OLD
TCS,3.4,(1.1L),9.4L,IT Services & Consulting,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Bangalore / Bengaluru,430 other locations,1 Lakh+  ,Public,56 years old
Accenture,3.7,(67.9k),6.3L,IT Services & Consulting,"Company Culture, Skill Development / Learning, Job Security",,Bangalore / Bengaluru,245 other locations,1 Lakh+  ,Public,35 years old
Wipro,3.7,(60.9k),4.6L,IT Services & Consulting,Skill Development / Learning,Promotions / Appraisal,Bangalore / Bengaluru,367 other locations,1 Lakh+  ,Forbes Global 2000,30 years old
Cognizant,3.7,(57.8k),5.8L,IT Services & Consulting,Job Security,"Promotions / Appraisal, Salary & Benefits",Hyderabad / Secunderabad,224 other locations,1 Lakh+  ,Public,79 years old
Capgemini,3.7,(49.5k),4.6L,IT Services & Consulting,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Bangalore / Bengaluru,180 other locations,1 Lakh+  ,Public,57 years old
HDFC Bank,3.8,(47.9k),1.5L,Banking,"Job Security, Skill Development / Learning",Promotions / Appraisal,Mumbai,1778 other locations,1 Lakh+  ,Public,30 years old
Infosys,3.5,(45.5k),5.1L,IT Services & Consulting,"Job Security, Skill Development / Learning, Company Culture",,Bangalore / Bengaluru,239 other locations,1 Lakh+  ,Public,30 years old
ICICI Bank,4,(43.6k),1.5L,Banking,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",Mumbai,1416 other locations,1 Lakh+  ,Public,43 years old
HCLTech,3.4,(42.6k),3.6L,IT Services & Consulting,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Chennai,223 other locations,1 Lakh+  ,Public,33 years old
Tech Mahindra,3.4,(40.7k),2.8L,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits",,Hyderabad / Secunderabad,328 other locations,1 Lakh+  ,Public,38 years old
Genpact,3.6,(39k),2.2L,IT Services & Consulting,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal",Hyderabad / Secunderabad,173 other locations,1 Lakh+  ,Public,27 years old
Teleperformance,3.8,(35k),93.6k,BPO,Job Security,,Mumbai,251 other locations,50k-1 Lakh  ,Public,31 years old
Axis Bank,3.7,(30.8k),1L,Banking,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Mumbai,1479 other locations,50k-1 Lakh  ,Forbes Global 2000,46 years old
Concentrix Corporation,3.6,(30.3k),1.3L,BPO,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",Bangalore / Bengaluru,174 other locations,50k-1 Lakh  ,Public,41 years old
Jio,4.3,(29.6k),62.3k,Telecom,"Job Security, Skill Development / Learning",Promotions / Appraisal,Mumbai,1782 other locations,50k-1 Lakh  ,Public,17 years old
Amazon,4,(29.3k),1.4L,Internet,"Company Culture, Salary & Benefits, Work Life Balance",,Bangalore / Bengaluru,511 other locations,1 Lakh+  ,Public,30 years old
iEnergizer,4.6,(26.8k),23.6k,BPO,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,Noida,49 other locations,1 Lakh+  ,Public,113 years old
Reliance Retail,3.9,(25.9k),71.8k,Retail,"Skill Development / Learning, Job Security",Promotions / Appraisal,Mumbai,1127 other locations,1 Lakh+  ,nan,18 years old
IBM,3.9,(24.6k),2.1L,IT Services & Consulting,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,Bangalore / Bengaluru,159 other locations,1 Lakh+  ,nan,17 years old
LTIMindtree,3.6,(24.2k),1.9L,IT Services & Consulting,"Job Security, Skill Development / Learning",,Bangalore / Bengaluru,138 other locations,10k-50k  ,Public,86 years old
HDB Financial Services,3.9,(24k),50.2k,NBFC,"Company Culture, Work Life Balance, Skill Development / Learning",,Mumbai,1067 other locations,5k-10k  ,Public,6 years old
Larsen & Toubro Limited,3.9,(22.1k),72.3k,Engineering & Construction,"Job Security, Work Life Balance, Company Culture",,Chennai,737 other locations,10k-50k  ,Indian Unicorn,13 years old
Deloitte,3.7,(21.3k),2.3L,Management Consulting,Job Security,Promotions / Appraisal,Hyderabad / Secunderabad,179 other locations,50k-1 Lakh  ,Public,21 years old
Kotak Mahindra Bank,3.6,(20.9k),85.4k,Banking,"Job Security, Skill Development / Learning, Salary & Benefits",,Mumbai,673 other locations,1 Lakh+  ,nan,179 years old
Reliance Industries,4,(18.9k),71.2k,Oil & Gas,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,Jamnagar,796 other locations,1 Lakh+  ,Public,47 years old
Vodafone Idea,4,(16.9k),50.6k,Telecom,"Company Culture, Skill Development / Learning, Job Security",,Pune,694 other locations,10k-50k  ,nan,24 years old
BYJU'S,3.1,(16.6k),54.1k,EdTech,"Skill Development / Learning, Company Culture, Job Security",,Bangalore / Bengaluru,322 other locations,10k-50k  ,Public,29 years old
Bharti Airtel,3.9,(16.2k),48.3k,Telecom,"Job Security, Skill Development / Learning, Company Culture",,Gurgaon / Gurugram,775 other locations,10k-50k  ,Public,79 years old
WNS,3.3,(14.1k),67.8k,BPO,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Pune,60 other locations,10k-50k  ,nan,28 years old
AU Small Finance Bank,4.1,(13.4k),28.1k,Banking,"Skill Development / Learning, Company Culture, Job Security",,Jaipur,756 other locations,10k-50k  ,Public,17 years old
Tata Motors,4.1,(13.4k),42.2k,Automobile,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Pune,497 other locations,10k-50k  ,Public,30 years old
IndusInd Bank,3.4,(13.2k),51.2k,Banking,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",Mumbai,780 other locations,50k-1 Lakh  ,nan,22 years old
Ernst & Young,3.4,(13.1k),1.3L,Management Consulting,"Skill Development / Learning, Job Security, Company Culture",,Bangalore / Bengaluru,127 other locations,10k-50k  ,Fortune India 500,28 years old
IDFC FIRST Bank,3.9,(13.1k),47.4k,Banking,"Job Security, Skill Development / Learning, Company Culture",,Mumbai,701 other locations,1 Lakh+  ,Public,79 years old
Flipkart,3.9,(12.1k),52k,Internet,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",Bangalore / Bengaluru,550 other locations,10k-50k  ,nan,22 years old
Bajaj Finserv,4,(11.7k),29.2k,Financial Services,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",Pune,1119 other locations,10k-50k  ,Public,7 years old
DXC Technology,3.6,(11.4k),72.4k,IT Services & Consulting,"Salary & Benefits, Skill Development / Learning, Job Security",,Bangalore / Bengaluru,133 other locations,10k-50k  ,Public,6 years old
PwC,3.3,(11.4k),1.1L,Management Consulting,"Promotions / Appraisal, Salary & Benefits",,Bangalore / Bengaluru,127 other locations,10k-50k  ,nan,22 years old
Infosys BPM,3.5,(11.3k),70.3k,BPO,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Bangalore / Bengaluru,90 other locations,50k-1 Lakh  ,Public,25 years old
Mahindra & Mahindra,4.1,(11.3k),38.7k,Automobile,"Skill Development / Learning, Job Security, Company Culture",,Pune,549 other locations,10k-50k  ,Public,24 years old
HDFC Life,3.9,(11.1k),32k,Insurance,"Salary & Benefits, Skill Development / Learning, Job Security",,Mumbai,680 other locations,50k-1 Lakh  ,Public,17 years old
Muthoot Fincorp,4.5,(10.2k),8.9k,NBFC,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Bangalore / Bengaluru,1017 other locations,10k-50k  ,Public,26 years old
Bandhan Bank,3.7,(9.9k),24.7k,Banking,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",Kolkata,965 other locations,10k-50k  ,Conglomerate,144 years old
Conneqt Business Solutions,3.5,(9.8k),26.4k,BPO,"Job Security, Work Life Balance, Company Culture",,Hyderabad / Secunderabad,259 other locations,10k-50k  ,Forbes Global 2000,22 years old
Mphasis,3.3,(9.7k),71.7k,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Bangalore / Bengaluru,61 other locations,10k-50k  ,Public,7 years old
Yes Bank,3.7,(9.4k),42.7k,Banking,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Mumbai,529 other locations,10k-50k  ,Public,24 years old
Tata Steel,4,(9.3k),32.9k,Iron & Steel,"Salary & Benefits, Skill Development / Learning, Job Security",,Jamshedpur,223 other locations,50k-1 Lakh  ,Public,86 years old
Quess,3.8,(9k),29.9k,IT Services & Consulting,"Company Culture, Work Life Balance, Job Security",,Bangalore / Bengaluru,708 other locations,10k-50k  ,Forbes Global 2000,148 years old
Startek,3.1,(8.9k),24.2k,BPO,"Job Security, Salary & Benefits, Skill Development / Learning",,Bangalore / Bengaluru,102 other locations,10k-50k  ,Public,43 years old
Asian Paints,3.9,(8.8k),25k,Chemicals,"Job Security, Skill Development / Learning, Work Life Balance",,Mumbai,532 other locations,50k-1 Lakh  ,Fortune India 500,45 years old
Paytm,3.2,(8.7k),33.2k,FinTech,"Salary & Benefits, Skill Development / Learning, Job Security",,Noida,401 other locations,5k-10k  ,Public,82 years old
UltraTech Cement,4.1,(8.6k),23.4k,Building Material,"Salary & Benefits, Work Life Balance",,Mumbai,525 other locations,10k-50k  ,Public,20 years old
Shriram Finance,4,(8.5k),14.9k,NBFC,"Skill Development / Learning, Salary & Benefits, Work Life Balance",,Chennai,1081 other locations,10k-50k  ,Public,89 years old
Maruti Suzuki,4.2,(8.5k),26.3k,Automobile,"Promotions / Appraisal, Salary & Benefits",,Gurgaon / Gurugram,435 other locations,10k-50k  ,nan,38 years old
Bajaj Finance,3.9,(8.3k),22.2k,NBFC,"Skill Development / Learning, Company Culture, Work Life Balance",,Pune,930 other locations,10k-50k  ,Public,40 years old
Sutherland Global Services,3.4,(8.3k),32.7k,BPO,Job Security,Promotions / Appraisal,Chennai,77 other locations,50k-1 Lakh  ,Public,23 years old
EXL Service,3.6,(8.2k),42.9k,IT Services & Consulting,"Job Security, Skill Development / Learning, Company Culture",,Noida,60 other locations,10k-50k  ,Public,41 years old
Samsung,3.9,(8.1k),26k,Consumer Electronics & Appliances,"Job Security, Promotions / Appraisal, Company Culture",,Noida,565 other locations,10k-50k  ,Public,14 years old
Ericsson,4,(8.1k),42.2k,Telecom,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Bangalore / Bengaluru,161 other locations,10k-50k  ,nan,25 years old
Cipla,4.1,(8.1k),25.6k,Pharma,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Mumbai,286 other locations,10k-50k  ,nan,36 years old
Wells Fargo,3.7,(7.8k),54.1k,Financial Services,"Job Security, Skill Development / Learning, Salary & Benefits",,Bangalore / Bengaluru,28 other locations,10k-50k  ,Public,24 years old
Dr. Reddy's,4,(7.8k),25.5k,Pharma,,,Hyderabad / Secunderabad,208 other locations,10k-50k  ,Public,18 years old
HGS,3.7,(7.4k),21.1k,BPO,"Salary & Benefits, Skill Development / Learning, Job Security",,Bangalore / Bengaluru,119 other locations,10k-50k  ,nan,37 years old
Optum Global Solutions,4,(7.4k),46.6k,IT Services & Consulting,"Skill Development / Learning, Company Culture, Work Life Balance",,Hyderabad / Secunderabad,63 other locations,1k-5k  ,Public,56 years old
ICICI Prudential Life Insurance,4,(7.3k),22.6k,Insurance,"Job Security, Company Culture, Work Satisfaction",,Mumbai,500 other locations,1 Lakh+  ,Public,129 years old
Delhivery,3.8,(7.3k),20.2k,Logistics,Job Security,"Promotions / Appraisal, Salary & Benefits",Gurgaon / Gurugram,727 other locations,1 Lakh+  ,nan,48 years old
Amazon Development Centre India,3.9,(7.2k),36.4k,Internet,Job Security,"Promotions / Appraisal, Salary & Benefits",Hyderabad / Secunderabad,146 other locations,10k-50k  ,Public,28 years old
JPMorgan Chase & Co.,3.9,(7.2k),80.9k,Financial Services,"Job Security, Skill Development / Learning, Work Life Balance",,Bangalore / Bengaluru,54 other locations,1 Lakh+  ,Public,117 years old
Jana Small Finance Bank,3.8,(7.2k),14.5k,Banking,Work Life Balance,Promotions / Appraisal,Bangalore / Bengaluru,408 other locations,1k-5k  ,Public,17 years old
Sun Pharmaceutical Industries,4.1,(7.2k),22.9k,Pharma,"Job Security, Work Life Balance, Company Culture",,Vadodara,260 other locations,10k-50k  ,Public,172 years old
JSW Steel,3.9,(7.1k),29.7k,Iron & Steel,"Job Security, Skill Development / Learning, Salary & Benefits",,Ballari,186 other locations,10k-50k  ,Public,72 years old
Hexaware Technologies,3.5,(7.1k),51.4k,IT Services & Consulting,"Company Culture, Work Life Balance, Salary & Benefits",,Chennai,67 other locations,10k-50k  ,nan, 
L&T Construction,4,(7k),18.8k,Engineering & Construction,Skill Development / Learning,Promotions / Appraisal,Chennai,422 other locations,10k-50k  ,Fortune India 500,13 years old
Lupin,4.1,(7k),22.2k,Pharma,"Job Security, Skill Development / Learning, Salary & Benefits",,Pune,199 other locations,5k-10k  ,Public,80 years old
Zydus Lifesciences,4,(6.9k),19.6k,Pharma,"Job Security, Company Culture, Skill Development / Learning",,Ahmedabad,172 other locations,50k-1 Lakh  ,Forbes Global 2000,24 years old
Hindustan Unilever,4.2,(6.9k),19.8k,FMCG,"Job Security, Salary & Benefits, Skill Development / Learning",,Mumbai,517 other locations,10k-50k  ,Public,41 years old
Equitas Small Finance Bank,4.3,(6.8k),12.7k,Banking,"Skill Development / Learning, Job Security, Company Culture",,Chennai,444 other locations,10k-50k  ,Public,152 years old
KPMG India,3.4,(6.7k),61.2k,Management Consulting,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,Bangalore / Bengaluru,106 other locations,10k-50k  ,nan,56 years old
ITC,3.9,(6.7k),23.7k,FMCG,"Salary & Benefits, Skill Development / Learning",Job Security,Bangalore / Bengaluru,368 other locations,1k-5k  ,Indian Unicorn,8 years old
Ekart Logistics,3.9,(6.7k),15.2k,Bangalore / Bengaluru +716 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal,,,10k-50k  ,Public,49 years old
Ujjivan Small Finance Bank,4,(6.6k),12.2k,Banking,Salary & Benefits,,Bangalore / Bengaluru,517 other locations,10k-50k  ,Public,29 years old
Axis Max Life Insurance,4,(6.6k),19.6k,Insurance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,New Delhi,484 other locations,10k-50k  ,Fortune India 500,34 years old
Megha Engineering & Infrastructures,3.9,(6.4k),17.8k,Engineering & Construction,"Job Security, Skill Development / Learning",Promotions / Appraisal,Hyderabad / Secunderabad,394 other locations,10k-50k  ,Public,42 years old
Tata Projects,4.2,(6.3k),21.9k,Engineering & Construction,"Company Culture, Job Security, Work Life Balance",,Mumbai,275 other locations,10k-50k  ,Public,7 years old
FIS,3.9,(6.2k),38.5k,FinTech,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",,Pune,60 other locations,10k-50k  ,Public,85 years old
L&T Technology Services,3.1,(6.1k),41k,IT Services & Consulting,"Skill Development / Learning, Company Culture, Job Security",,Bangalore / Bengaluru,94 other locations,10k-50k  ,nan,24 years old
Coforge,3.2,(6.1k),46k,IT Services & Consulting,"Job Security, Salary & Benefits",,Noida,105 other locations,10k-50k  ,Public,38 years old
IIFL Finance,4,(6k),13.8k,NBFC,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",Mumbai,787 other locations,10k-50k  ,nan,37 years old
Bajaj Life Insurance,3.9,(6k),16.6k,Insurance,"Job Security, Skill Development / Learning, Company Culture",,Pune,594 other locations,5k-10k  ,Conglomerate,159 years old
Oracle,3.5,(6k),60.2k,Software Product,"Job Security, Company Culture, Skill Development / Learning",,Bangalore / Bengaluru,56 other locations,5k-10k  ,Public,45 years old
Indian Army,4.7,(6k),9.5k,Defence & Aerospace,"Company Culture, Skill Development / Learning, Work Life Balance",,New Delhi,358 other locations,10k-50k  ,nan,12 years old
HCL Group,3.5,(6k),41k,IT Services & Consulting,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",Chennai,96 other locations,50k-1 Lakh  ,Public,47 years old
JLL,4.1,(5.9k),23.3k,Real Estate,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Gurgaon / Gurugram,83 other locations,10k-50k  ,Public,24 years old
Omega Healthcare,3.7,(5.9k),25.3k,BPO,"Job Security, Skill Development / Learning, Company Culture",,Chennai,67 other locations,10k-50k  ,Public,41 years old
Muthoot Finance,3.6,(5.9k),12.7k,NBFC,"Skill Development / Learning, Work Satisfaction, Company Culture",,Bangalore / Bengaluru,757 other locations,5k-10k  ,Public,76 years old
Cholamandalam Investment & Finance,3.8,(5.8k),12k,Financial Services,"Job Security, Company Culture, Work Life Balance",,Chennai,803 other locations,5k-10k  ,Public,177 years old
eClerx,3.1,(5.8k),30.5k,IT Services & Consulting,"Skill Development / Learning, Job Security, Company Culture",,Pune,31 other locations,10k-50k  ,Forbes Global 2000,27 years old
Virtusa Consulting Services,3.7,(5.7k),55.4k,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits",,Hyderabad / Secunderabad,54 other locations,10k-50k  ,nan,21 years old
Udaan,4,(5.7k),16.6k,Internet,"Job Security, Skill Development / Learning",Promotions / Appraisal,Bangalore / Bengaluru,367 other locations,5k-10k  ,Conglomerate,35 years old
HSBC Group,3.9,(5.6k),41.3k,Financial Services,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,Bangalore / Bengaluru,63 other locations,5k-10k  ,Conglomerate,15 years old
Indiamart Intermesh,3.6,(5.6k),19.7k,Internet,"Promotions / Appraisal, Work Satisfaction, Job Security",,Noida,168 other locations,10k-50k  ,Public,28 years old
DMart,3.9,(5.6k),17.9k,Retail,"Promotions / Appraisal, Salary & Benefits",,Mumbai,242 other locations,10k-50k  ,Public,23 years old
Aurobindo Pharma,4,(5.5k),20.7k,Pharma,Skill Development / Learning,Promotions / Appraisal,Hyderabad / Secunderabad,114 other locations,10k-50k  ,Public,20 years old
Siemens,4,(5.4k),32.6k,Industrial Automation,"Salary & Benefits, Work Life Balance, Job Security",,Bangalore / Bengaluru,150 other locations,10k-50k  ,nan,23 years old
Shapoorji Pallonji Group,4.1,(5.4k),15.1k,Engineering & Construction,"Work Life Balance, Company Culture, Job Security",,Mumbai,187 other locations,5k-10k  ,Public,40 years old
SMFG India Credit,3.9,(5.4k),11.2k,NBFC,"Job Security, Company Culture, Work Life Balance",,Mumbai,577 other locations,10k-50k  ,Public,33 years old
Standard Chartered,3.6,(5.4k),41.4k,Banking,"Job Security, Company Culture",Promotions / Appraisal,Chennai,68 other locations,10k-50k  ,Fortune India 500,24 years old
BigBasket,3.9,(5.4k),18.5k,Internet,Job Security,"Promotions / Appraisal, Salary & Benefits",Bangalore / Bengaluru,136 other locations,10k-50k  ,Public,33 years old
CGI Group,4,(5.4k),45.6k,IT Services & Consulting,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",,Bangalore / Bengaluru,43 other locations,10k-50k  ,Public,20 years old
Access Healthcare,3.7,(5.4k),26.5k,Healthcare,"Job Security, Skill Development / Learning",Promotions / Appraisal,Chennai,58 other locations,10k-50k  ,Indian Unicorn,13 years old
GlobalLogic,3.5,(5.4k),38.9k,IT Services & Consulting,Job Security,Promotions / Appraisal,Hyderabad / Secunderabad,59 other locations,10k-50k  ,Public,23 years old
ICICI Lombard General Insurance Company,3.6,(5.4k),19.5k,Insurance,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",,Mumbai,305 other locations,5k-10k  ,nan,28 years old
Firstsource Solutions,3.5,(5.4k),23.5k,BPO,"Job Security, Work Life Balance, Company Culture",,Bangalore / Bengaluru,70 other locations,10k-50k  ,Forbes Global 2000,48 years old
Manappuram Finance,3.9,(5.3k),9.1k,NBFC,Promotions / Appraisal,,Bangalore / Bengaluru,623 other locations,10k-50k  ,nan,28 years old
Apollo Hospitals,4,(5.3k),16.2k,Healthcare,"Job Security, Company Culture, Work Life Balance",,Chennai,226 other locations,10k-50k  ,Fortune India 500,17 years old
Mahindra Finance,3.9,(5.3k),11.9k,NBFC,"Skill Development / Learning, Salary & Benefits, Company Culture",,Mumbai,714 other locations,5k-10k  ,Public,45 years old
Bosch Global Software Technologies,3.8,(5.3k),38.7k,IT Services & Consulting,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Bangalore / Bengaluru,47 other locations,10k-50k  ,,24 years old
UST,3.7,(5.2k),38.2k,IT Services & Consulting,"Skill Development / Learning, Promotions / Appraisal",,Bangalore / Bengaluru,49 other locations,10k-50k  ,Public,75 years old
Ashok Leyland,4,(5.2k),18.4k,Automobile,"Work Life Balance, Company Culture",Promotions / Appraisal,Chennai,244 other locations,10k-50k  ,nan,23 years old
Citicorp,3.7,(5.2k),50k,Financial Services,"Company Culture, Work Life Balance, Job Security",,Pune,67 other locations,10k-50k  ,Forbes Global 2000,9 years old
Cyient,3.6,(5.1k),27k,IT Services & Consulting,"Promotions / Appraisal, Work Satisfaction",,Hyderabad / Secunderabad,44 other locations,1k-5k  ,nan,26 years old
PolicyBazaar,3.7,(5.1k),16.6k,Internet,"Company Culture, Work Life Balance, Salary & Benefits",,Gurgaon / Gurugram,134 other locations,10k-50k  ,nan,28 years old
Hero MotoCorp,4.1,(5.1k),15.5k,Automobile,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Gurgaon / Gurugram,359 other locations,5k-10k  ,nan,44 years old
Swiggy,3.7,(5k),21.7k,Internet,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Bangalore / Bengaluru,226 other locations,10k-50k  ,nan,27 years old
JustDial,3.5,(4.9k),15.4k,Internet,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Noida,220 other locations,10k-50k  ,Forbes Global 2000,42 years old
SBI Cards & Payment Services,3.6,(4.9k),15.9k,Financial Services,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal,Gurgaon / Gurugram,427 other locations,1k-5k  ,nan,15 years old
Kalpataru Projects International,4.1,(4.9k),13.3k,Engineering & Construction,"Salary & Benefits, Job Security, Skill Development / Learning",,Mumbai,306 other locations,10k-50k  ,Fortune India 500,46 years old
BNY,3.7,(4.9k),30.1k,Financial Services,"Company Culture, Work Life Balance, Skill Development / Learning",,Pune,25 other locations,5k-10k  ,Public,138 years old
IQVIA,3.7,(4.8k),29.9k,Clinical Research,Skill Development / Learning,Promotions / Appraisal,Bangalore / Bengaluru,62 other locations,201-500  ,Public,22 years old
CBRE,4.1,(4.8k),18.2k,Real Estate,"Salary & Benefits, Job Security, Skill Development / Learning",,Hyderabad / Secunderabad,91 other locations,10k-50k  ,nan,17 years old
TVS Motor,3.9,(4.8k),15.5k,Automobile,"Company Culture, Work Life Balance, Job Security",,Hosur,336 other locations,10k-50k  ,Forbes Global 2000,20 years old
SBI Life Insurance Company,3.7,(4.8k),11.5k,Insurance,"Company Culture, Skill Development / Learning, Work Life Balance",,Mumbai,637 other locations,10k-50k  ,Forbes Global 2000,25 years old
vivo,4.1,(4.7k),12.8k,Consumer Electronics & Appliances,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Noida,410 other locations,10k-50k  ,Public,12 years old
NTT Data,3.8,(4.7k),34k,IT Services & Consulting,"Job Security, Salary & Benefits, Skill Development / Learning",,Bangalore / Bengaluru,77 other locations,10k-50k  ,Fortune India 500,57 years old
Persistent Systems,3.6,(4.7k),42.4k,IT Services & Consulting,"Company Culture, Job Security, Salary & Benefits",,Pune,42 other locations,10k-50k  ,Forbes Global 2000,42 years old
Eviden,3.6,(4.7k),28.5k,IT Services & Consulting,"Job Security, Promotions / Appraisal, Work Satisfaction",,Pune,37 other locations,1k-5k  ,Indian Unicorn,11 years old
Atos,3.8,(4.7k),33.6k,IT Services & Consulting,"Skill Development / Learning, Company Culture, Job Security",,Pune,49 other locations,10k-50k  ,Forbes Global 2000,118 years old
Nagarjuna Construction Company,4.1,(4.7k),11.6k,Engineering & Construction,Job Security,"Work Life Balance, Company Culture, Work Satisfaction",Hyderabad / Secunderabad,281 other locations,1 Lakh+  ,Fortune India 500,218 years old
State Bank of India,3.8,(4.7k),11k,Banking,"Job Security, Skill Development / Learning",,Mumbai,599 other locations,1k-5k  ,Public,41 years old
Schneider Electric,4.1,(4.6k),23.5k,Industrial Automation,Salary & Benefits,"Job Security, Promotions / Appraisal",Bangalore / Bengaluru,117 other locations,5k-10k  ,Indian Unicorn,10 years old
Ecom Express,4,(4.6k),9.3k,Logistics,"Job Security, Work Life Balance, Company Culture",,Gurgaon / Gurugram,756 other locations,10k-50k  ,Forbes Global 2000,178 years old
Nagarro,3.9,(4.6k),31.1k,IT Services & Consulting,"Skill Development / Learning, Work Life Balance, Company Culture",,Gurgaon / Gurugram,48 other locations,10k-50k  ,nan,12 years old
Amdocs,3.7,(4.6k),36.7k,Software Product,Job Security,Promotions / Appraisal,Pune,22 other locations,10k-50k  ,nan,23 years old
Home Credit Finance,4,(4.5k),9.6k,NBFC,"Work Life Balance, Company Culture, Skill Development / Learning",,Gurgaon / Gurugram,134 other locations,10k-50k  ,Forbes Global 2000,40 years old
JBM Group,3.9,(4.5k),13.6k,Auto Components,"Job Security, Company Culture, Skill Development / Learning",,Gurgaon / Gurugram,110 other locations,5k-10k  ,Public,26 years old
KEC International,4,(4.5k),12.8k,Engineering & Construction,Promotions / Appraisal,,Mumbai,307 other locations,5k-10k  ,Public,79 years old
Piramal Capital Housing Finance,4.2,(4.4k),9.5k,NBFC,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Mumbai,379 other locations,10k-50k  ,nan,47 years old
Varun Beverages,4,(4.4k),11.7k,Beverage,"Skill Development / Learning, Company Culture, Work Life Balance",,New Delhi,366 other locations,10k-50k  ,Conglomerate,11 years old
Bosch,4.2,(4.4k),20.3k,Auto Components,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,Bangalore / Bengaluru,122 other locations,5k-10k  ,Public,79 years old
Hewlett Packard Enterprise,4.1,(4.4k),26.5k,IT Services & Consulting,"Company Culture, Skill Development / Learning, Work Life Balance",,Bangalore / Bengaluru,103 other locations,1k-5k  ,nan,4 years old
EY Global Delivery Services ( EY GDS),3.5,(4.3k),45.3k,Accounting & Auditing,"Skill Development / Learning, Job Security, Company Culture",,Bangalore / Bengaluru,54 other locations,10k-50k  ,Fortune India 500,9 years old
OPPO,3.9,(4.3k),11.8k,Consumer Electronics & Appliances,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Greater Noida,398 other locations,10k-50k  ,Conglomerate,137 years old
Mahindra Logistics,3.7,(4.3k),12.9k,Logistics,"Skill Development / Learning, Work Satisfaction, Company Culture",,Mumbai,231 other locations,5k-10k  ,nan,123 years old
Dell,3.8,(4.3k),28.4k,Consumer Electronics & Appliances,"Salary & Benefits, Skill Development / Learning",,Bangalore / Bengaluru,116 other locations,10k-50k  ,Public,30 years old
ITC Infotech,3.7,(4.3k),28.7k,IT Services & Consulting,"Salary & Benefits, Job Security, Work Life Balance",,Bangalore / Bengaluru,66 other locations,10k-50k  ,Forbes Global 2000,63 years old
Aditya Birla Fashion and Retail,4.1,(4.3k),12.7k,Fashion & Textile,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,Bangalore / Bengaluru,282 other locations,5k-10k  ,Public,38 years old
L&T Finance,3.9,(4.3k),11.5k,NBFC,Job Security,,Mumbai,607 other locations,1k-5k  ,Public,38 years old
